Horodatage,Spectateurs,Vues live,Nouveaux followers,Personnes sur le chat,Messages du chat,Coupures publicitaires,Abonnements,Clips créés,Tous les clips vus
15:30,192.33333333333334,452,15,104,148,,,2,
15:35,479.2,272,8,126,235,,2,1,
15:40,575.6,186,4,102,212,,3,1,
15:45,634,198,3,112,257,,,1,1
15:50,699.6,208,5,98,200,,,,
15:55,783.2,220,4,122,274,,,1,
16:00,847.8,258,12,124,227,,2,1,
16:05,916.6,176,5,69,120,,1,,
16:10,908.6,165,2,70,95,,1,,
16:15,915,176,5,79,131,,1,,
16:20,865,134,2,62,83,,,2,
16:25,843.8,129,1,49,66,,,,
16:30,848,133,2,61,133,,1,,
16:35,851.8,131,,76,188,,,2,
16:40,856.8,149,5,48,100,,,1,
16:45,860.4,118,2,46,83,,,1,
16:50,861.8,123,1,64,134,,,2,1
16:55,878.8,144,2,80,132,,,1,3
17:00,887.6,143,,50,95,,,,2
17:05,891,136,1,55,107,,,,
17:10,905.4,117,3,30,51,,,,
17:15,907.2,105,1,67,132,,1,,
17:20,901.4,111,1,95,222,,,1,
17:25,905.4,119,2,99,193,,1,4,
17:30,921.8,124,1,121,303,,2,1,
17:35,935.6,104,1,93,236,,,,
17:40,957.8,145,,131,278,,,3,
17:45,977.6,125,4,120,270,,,1,
17:50,979.6,126,,84,165,,,,
17:55,1006,146,4,145,354,,1,1,
18:00,1020.4,136,1,77,178,,,,
18:05,993.4,160,1,550,2040,,,1,
18:10,905.2,134,4,422,1714,,,2,1
18:15,751,28,,56,94,,,,